Virginijus Sinkevičius (Commissioner),Our Fish
Carmen Preising,Our Fish
Agne Razmislaviciute-Palioniene,Our Fish
Virginijus Sinkevičius (Commissioner),WWF European Policy Programme
Carmen Preising,WWF European Policy Programme
Agne Razmislaviciute-Palioniene,WWF European Policy Programme
Virginijus Sinkevičius (Commissioner),Seas At Risk
Carmen Preising,Seas At Risk
Agne Razmislaviciute-Palioniene,Seas At Risk
Virginijus Sinkevičius (Commissioner),Deep Sea Conservation Coalition
Carmen Preising,Deep Sea Conservation Coalition
Agne Razmislaviciute-Palioniene,Deep Sea Conservation Coalition
Virginijus Sinkevičius (Commissioner),ClientEarth AISBL
Carmen Preising,ClientEarth AISBL
Agne Razmislaviciute-Palioniene,ClientEarth AISBL
Virginijus Sinkevičius (Commissioner),Stichting BirdLife Europe
Carmen Preising,Stichting BirdLife Europe
Agne Razmislaviciute-Palioniene,Stichting BirdLife Europe
Virginijus Sinkevičius (Commissioner),OCEANA
Carmen Preising,OCEANA
Agne Razmislaviciute-Palioniene,OCEANA
Janusz Wojciechowski (Commissioner),BayWa Aktiengesellschaft
Janusz Wojciechowski (Commissioner),Archer Daniels Midland Company
Janusz Wojciechowski (Commissioner),Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.
Filomena Chirico,Classifieds Marketplaces Europe
Eszter Batta,Classifieds Marketplaces Europe
Anthony Agotha,Teneo Brussels
Maurits-Jan Prinz,Bureau Européen des Unions de Consommateurs
Alina-Stefania Ujupan,Energiföretagen /  Swedenergy
Alina-Stefania Ujupan,Nordenergi
Alina-Stefania Ujupan,Green Power Denmark
Alina-Stefania Ujupan,Finnish Energy - Energiateollisuus ry
Alina-Stefania Ujupan,Confederation of European Paper Industries
Elena Montani,Stichting BirdLife Europe
Margaritis Schinas (Vice-President),Panhellenic Union of Pharmaceutical Industry
Werner Stengg,HateAid gGmbH
Thor-Sten Vertmann,Marvel Fusion GmbH
Lukas Visek,Nederlands Agrarisch Jongeren Kontakt
Alejandro Cainzos,Rhodium group
Filomena Chirico,Spotify
Filomena Chirico,Twitter International Unlimited Company
Martina Lodrant,BUSINESSEUROPE
Thor-Sten Vertmann,Syndicat des acteurs du bâtiment connecté et de l'effacement
Christoph Nerlich,Teach For All Network
Anouk Faber,Teach For All Network
Nicolas Schmit (Commissioner),Teach For All Network
Lukas Visek,Bunge Ltd
Werner Stengg,Hanover Communications International
Werner Stengg,Paramount Global
Elena Montani,Dow Europe GmbH
Arunas Ribokas,Equinor ASA
Maurits-Jan Prinz,World Travel and Tourism Council
Aleksandra Tomczak,KIC InnoEnergy SE
Daniel Mes,KIC InnoEnergy SE
Diederik Samsom,KIC InnoEnergy SE
Renaud Savignat,International Planned Parenthood Federation European Network
Renaud Savignat,Plan International EU Office
Renaud Savignat,World Vision Brussels & EU Representation ivzw/aisbl
Renaud Savignat,DSW (Deutsche Stiftung Weltbevoelkerung)
Anouk Faber,EPIA SolarPower Europe
Santina Bertulessi,EPIA SolarPower Europe
Christoph Nerlich,EPIA SolarPower Europe
Anouk Faber,European Association of Electrical Contractors
Santina Bertulessi,European Association of Electrical Contractors
Christoph Nerlich,European Association of Electrical Contractors
Daniel Mes,Lightyear
Walter Goetz,Bundesverband der Deutschen Luft- und Raumfahrtindustrie e. V.
Francisco Barros Castro,Associação das Empresas Portuguesas para o Sector do Ambiente
Francisco Barros Castro,EUPPORTUNITY (QB, Lda.)
Daniel Mes,World Travel and Tourism Council
Daniel Mes,FIPRA International SRL
Giulio Di Blasi,Norwegian Refugee Council Europe
Darta Tentere,France Industrie
Sofia Asteriadi,BUSINESSEUROPE
Grave Martijn De,BUSINESSEUROPE
Andrea Beltramello,France Industrie
Darta Tentere,Schneider Electric
Darta Tentere,Euroclear SA/NV
Lukas Visek,Conseil Européen des Jeunes Agriculteurs
Lukas Visek,Eurogroup for Animals
Lukas Visek,Bureau Européen des Unions de Consommateurs
Lukas Visek,European Public Health Alliance
Werner Stengg,Johnson & Johnson
Alejandro Cainzos,Saab AB
Cristina Rueda Catry,Bunge Ltd
Nicolas Schmit (Commissioner),European Venture Philanthropy Association
Santina Bertulessi,European Venture Philanthropy Association
Anouk Faber,European Venture Philanthropy Association
Lauriane  Bertrand,EUROCINEMA, Association de producteurs de cinéma et de télévision
Lauriane  Bertrand,KERING
Annukka Ojala,Rabobank
Valeria Miceli,Euroclear SA/NV
Tatiana Marquez Uriarte,BUSINESSEUROPE
Joan Canton,Robert Bosch GmbH
Anthony Whelan,RELX
Olai Voionmaa,World Vision Brussels & EU Representation ivzw/aisbl
Lukas Visek,World Resources Institute
Penelope Papandropoulos,Netflix International B.V.
Werner Stengg,Netflix International B.V.
Alejandro Cainzos,Stiftung Neue Verantwortung e.V.
Pierre-Arnaud Proux,Stiftung Neue Verantwortung e.V.
Michele Piergiovanni,Cisco Systems Inc.
Santina Bertulessi,European Microfinance Network aisbl
Anouk Faber,European Microfinance Network aisbl
Filip Alexandru Negreanu Arboreanu,Honeywell Europe NV
Annukka Ojala,World Resources Institute
Filip Alexandru Negreanu Arboreanu,Schneider Electric
Thor-Sten Vertmann,smartEn Smart Energy Europe
Alina-Stefania Ujupan,Samsung Electronics Europe
Maurits-Jan Prinz,Amgen Inc
Maurits-Jan Prinz,MedTech Europe
Ana Carla  Pereira,SGI Europe
Nicolas Schmit (Commissioner),SGI Europe
Anouk Faber,SGI Europe
Ana Carla  Pereira,European Federation of Public Service Unions
Nicolas Schmit (Commissioner),European Federation of Public Service Unions
Anouk Faber,European Federation of Public Service Unions
Anouk Faber,UNI Europa
Nicolas Schmit (Commissioner),UNI Europa
Ana Carla  Pereira,UNI Europa
Tommy De Temmerman,Institute of International Finance
Elena Montani,ClientEarth AISBL
Elena Montani,Green 10
Elena Montani,Chemicals, Health and Environment Monitoring Trust
Elena Montani,International Chemical Secretariat
Rozalina Petrova,Unilever
Elena Montani,Unilever
Helena Braun,Chemicals, Health and Environment Monitoring Trust
Helena Braun,European Environmental Bureau
Helena Braun,ClientEarth AISBL
Helena Braun,International Chemical Secretariat
Helena Braun,Unilever
Darta Tentere,Archer Daniels Midland Company
Andrea Beltramello,COMITE EUROPEEN des FABRICANTS de SUCRE
Cristina Rueda Catry,COMITE EUROPEEN des FABRICANTS de SUCRE
Arunas Ribokas,European Energy A/S
Arunas Ribokas,enernovum GmbH & Co. KG
Arunas Ribokas,Gibson, Dunn & Crutcher LLP
Arunas Ribokas,Prager Dreifuss AG
Andrea Beltramello,European Association of Co-operative Banks
Michael Hager,European Association of Co-operative Banks
Sandra Bartelt,SDG Watch Europe
Jutta Urpilainen (Commissioner),SDG Watch Europe
Renaud Savignat,Médecins Sans Frontières International
Diederik Samsom,Pensioenfederatie (Federation of the Dutch Pension Funds)
Didier Reynders (Commissioner),Microsoft Corporation
Lucrezia Busa,Microsoft Corporation
Helena Braun,CITEO
Valeria Miceli,Banco Santander, S.A.
Valeria Miceli,Commerzbank AG
Valeria Miceli,European Banking Federation
Valeria Miceli,Raiffeisen Bank International AG
Valeria Miceli,Związek Banków Polskich
Peter Power,YARA  BELGIUM S.A.
Gints Freimanis,Federazione Imprese Siderurgiche Italiane
Gints Freimanis,Confederation of European Paper Industries
Gints Freimanis,European Aluminium AISBL
Gints Freimanis,AEGIS Europe
Gints Freimanis,Cerame-Unie
Carmen Preising,European Environmental Bureau
Carmen Preising,Naturschutzbund Deutschland e.V.
Barbara GLOWACKA,Deutsche Post DHL Group
Valeria Miceli,London Stock Exchange Group
Maurits-Jan Prinz,Médecins Sans Frontières International
Suvi Leinonen,Norwegian-African Business Association
Carmen Preising,Bundesverband der Deutschen Industrie e.V.
Virginijus Sinkevičius (Commissioner),Bundesverband der Deutschen Industrie e.V.
Sophie Dewispelaere,BNP PARIBAS
Julia Lemke,BNP PARIBAS
Thor-Sten Vertmann,Cercle des Réseaux européens
Magdalena Majerczyk,Fränkischer Weinbauverband e. V.
Andreas Schneider,Fränkischer Weinbauverband e. V.
Janusz Wojciechowski (Commissioner),Fränkischer Weinbauverband e. V.
Magdalena Majerczyk,Verband Deutscher Hopfenpflanzer e.V.
Andreas Schneider,Verband Deutscher Hopfenpflanzer e.V.
Janusz Wojciechowski (Commissioner),Verband Deutscher Hopfenpflanzer e.V.
Magdalena Majerczyk,Bayerischer Gärtnerei-Verband e.V.
Andreas Schneider,Bayerischer Gärtnerei-Verband e.V.
Janusz Wojciechowski (Commissioner),Bayerischer Gärtnerei-Verband e.V.
Magdalena Majerczyk,Bundesverband Deutscher Milchviehhalter e.V.
Andreas Schneider,Bundesverband Deutscher Milchviehhalter e.V.
Janusz Wojciechowski (Commissioner),Bundesverband Deutscher Milchviehhalter e.V.
Magdalena Majerczyk,Landesvereinigung für den ökologischen landbau in Bayern e.V.
Andreas Schneider,Landesvereinigung für den ökologischen landbau in Bayern e.V.
Janusz Wojciechowski (Commissioner),Landesvereinigung für den ökologischen landbau in Bayern e.V.
Magdalena Majerczyk,Deutscher Bauernverband
Andreas Schneider,Deutscher Bauernverband
Janusz Wojciechowski (Commissioner),Deutscher Bauernverband
Jorge Pinto Antunes,The European Organization for Packaging and the Environment
Jorge Pinto Antunes,Shearwater Global
Magdalena Majerczyk,Fédération Nationale d'Agriculture Biologique des régions de France
Janusz Wojciechowski (Commissioner),Fédération Nationale d'Agriculture Biologique des régions de France
Hanna Jahns,ING Group
Lukas Visek,Xylem Inc.
Lukas Visek,ECOLAB
Lukas Visek,Veolia Environnement
Lukas Visek,Grundfos Holding A/S
Lukas Visek,SUEZ Group
Michele Piergiovanni,trivago N.V.
Penelope Papandropoulos,trivago N.V.
Cristina Rueda Catry,BUSINESSEUROPE
Stefanie Hiesinger,ECBF Management GmbH
Andrea Beltramello,Société Générale
Michael Hager,Société Générale
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Anouk Faber,EUROPEAN TRADE UNION CONFEDERATION
Ana Carla  Pereira,EUROPEAN TRADE UNION CONFEDERATION
Santina Bertulessi,EUROPEAN TRADE UNION CONFEDERATION
Zaneta Vegnere,BUSINESSEUROPE
Maciej Golubiewski,EuroCommerce
Arunas Ribokas,ECOLAB
Arunas Ribokas,Grundfos Holding A/S
Arunas Ribokas,Xylem Inc.
Arunas Ribokas,SUEZ Group
Arunas Ribokas,Veolia Environnement
Anthony Whelan,Nokia
Jutta Urpilainen (Commissioner),Search for Common Ground
Jutta Urpilainen (Commissioner),CONCORD Europe
Jutta Urpilainen (Commissioner),The ONE Campaign
Jutta Urpilainen (Commissioner),Climate Action Network Europe
Jutta Urpilainen (Commissioner),DSW (Deutsche Stiftung Weltbevoelkerung)
Jutta Urpilainen (Commissioner),World Vision Brussels & EU Representation ivzw/aisbl
Jutta Urpilainen (Commissioner),Culture Action Europe
Jutta Urpilainen (Commissioner),Women Environmental Programme
Jutta Urpilainen (Commissioner),Deutsche Schutzvereinigung für Wertpapierbesitz e.V.
Jutta Urpilainen (Commissioner),Plan International EU Office
Jutta Urpilainen (Commissioner),OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Jutta Urpilainen (Commissioner),European Youth Forum
Jutta Urpilainen (Commissioner),CIVICUS: World Alliance for Citizen Participation
Jutta Urpilainen (Commissioner),African Diaspora Network in Europe
Jutta Urpilainen (Commissioner),Union of Mediterranean Confederations of Enterprises
Paolo Gentiloni (Commissioner),TIM S.p.A.
Anthony Whelan,DIGITALEUROPE
Lukas Visek,World Resources Institute
Werner Stengg,Zoom Video Communications, Inc.
Monika Maglione,Zoom Video Communications, Inc.
Anouk Faber,Cisco Systems Inc.
Christoph Nerlich,Cisco Systems Inc.
Walter Goetz,The International Motor Vehicle Inspection Committee
Filip Alexandru Negreanu Arboreanu,The International Motor Vehicle Inspection Committee
Alejandro Cainzos,Institut français des relations internationales
Werner Stengg,Internet Society
Christiane Canenbley,Internet Society
Frans Timmermans (Executive Vice-President),Ørsted A/S
Frans Timmermans (Executive Vice-President),Vestas Wind Systems A/S
Frans Timmermans (Executive Vice-President),Copenhagen Infrastructure Partners P/S
Frans Timmermans (Executive Vice-President),Confederation of Danish Industry
Filomena Chirico,Bitkom e.V.
Renate Nikolay,MFE - MEDIAFOREUROPE N.V
Věra Jourová (Vice-President),European University Institute
Mairead McGuinness (Commissioner),VMware International Unlimited Company
Florian Denis,VMware International Unlimited Company
Roxana Lesovici,European Community Shipowners' Associations
Jasna Pajnkihar,International Federation of Red Cross and Red Crescent Societies
Janez Lenarčič (Commissioner),International Federation of Red Cross and Red Crescent Societies
Jasna Pajnkihar,Concern Worldwide
Janez Lenarčič (Commissioner),Concern Worldwide
Jasna Pajnkihar,Agroecology Europe
Janez Lenarčič (Commissioner),Agroecology Europe
Jasna Pajnkihar,OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Janez Lenarčič (Commissioner),OXFAM INTERNATIONAL EU ADVOCACY OFFICE
Jasna Pajnkihar,GOAL Global
Janez Lenarčič (Commissioner),GOAL Global
Diederik Samsom,Wirtschaftsforum der SPD e.V.
Stefanie Hiesinger,Wirtschaftsforum der SPD e.V.
Tuure Taneli Lahti,Tradeka-Yhtiöt Oy
Arto Virtanen,Tradeka-Yhtiöt Oy
Margaritis Schinas (Vice-President),Centrient Pharmaceuticals
Maria Luisa Llano Cardenal,Centrient Pharmaceuticals
Maria Luisa Llano Cardenal,FOMENT DEL TREBALL NACIONAL
Margaritis Schinas (Vice-President),FOMENT DEL TREBALL NACIONAL
Despina Spanou,Zoom Video Communications, Inc.
Chris Uregian,Zoom Video Communications, Inc.
Daphne von Buxhoeveden,Bill & Melinda Gates Foundation
Barbara GLOWACKA,Swedish Forest Industries Federation
Margaritis Schinas (Vice-President),MEDICINES FOR EUROPE
Maria Luisa Llano Cardenal,MEDICINES FOR EUROPE
Szabolcs Horvath,Raiffeisen Bank International AG
Tatiana Marquez Uriarte,AIR LIQUIDE
Werner Stengg,Conseil National des Greffiers des Tribunaux de Commerce
Werner Stengg,Athenora Consulting
Werner Stengg,PolitAnalytics
Filomena Chirico,Deutsche Telekom
Isabelle Perignon,Conseil National des Greffiers des Tribunaux de Commerce
Christoph Nerlich,Caritas Europa
Nicolas Schmit (Commissioner),Caritas Europa
Christoph Nerlich,Deutscher Caritasverband e. V.
Nicolas Schmit (Commissioner),Deutscher Caritasverband e. V.
Věra Jourová (Vice-President),ZDF Europabüro Brüssel
Morella Siemers,Arton Capital
Raul Hernandez Sagrera,Arton Capital
Helena Braun,FoodDrinkEurope
Helena Braun,Nestlé S.A.
Helena Braun,Natural Mineral Waters Europe aisbl
Santina Bertulessi,European Foundation Centre
Santina Bertulessi,Intesa Sanpaolo
Monika Maglione,Fundacja im. Kazimierza Pułaskiego
Gosia Pearson,Fundacja im. Kazimierza Pułaskiego
Stella Kyriakides (Commissioner),European Federation of Pharmaceutical Industries and Associations
Giulio Di Blasi,Caritas Europa
Ylva Johansson (Commissioner),Caritas Europa
Suvi Leinonen,Chemical Industry Federation of Finland (Kemianteollisuus ry)
Christoph Nerlich,HOTREC, Hotels, Restaurants & Cafés in Europe
Antoine Kasel,HOTREC, Hotels, Restaurants & Cafés in Europe
Tuure Taneli Lahti,BUSINESSEUROPE
Kim-Tobias Eling,Norwegian Refugee Council Europe
Colin Scicluna,aditus foundation
Andrea Beltramello,Anti-Slavery International
Karolina Herbout-Borczak,BEAM Alliance
Annukka Ojala,BEAM Alliance
Maria Luisa Llano Cardenal,European Federation of Pharmaceutical Industries and Associations
Margaritis Schinas (Vice-President),European Federation of Pharmaceutical Industries and Associations
Thierry Breton (Commissioner),WindEurope
Anthony Whelan,Ericsson
Anthony Whelan,Nokia
Florentine Hopmeier,The German Marshall Fund of the United States - The Transatlantic Foundation
Anthony Whelan,EUROPE'S MEDIALAB (Fondation EURACTIV)
Filomena Chirico,Discord Inc.
Maurits-Jan Prinz,Discord Inc.
Elena Montani,Swedish Society for Nature Conservation
Elena Montani,MERCATOR OCEAN INTERNATIONAL
Elena Montani,Business Bridge Europe
Helena Braun,Business Bridge Europe
Helena Braun,MERCATOR OCEAN INTERNATIONAL
Helena Braun,Suomen itsenäisyyden juhlarahasto
Helena Braun,Swedish Society for Nature Conservation
Mairead McGuinness (Commissioner),Związek Banków Polskich
Nicolo Brignoli,Związek Banków Polskich
Riccardo Maggi,Institute for Climate Economics
Antoine Colombani,Institute for Climate Economics
Giorgios Rossides,European Healthcare Distribution Association
Karolina Herbout-Borczak,European Healthcare Distribution Association
Suvi Leinonen,Pohjolan Voima Oyj
Suvi Leinonen,Blic Oy
Silvan Agius,Civil Rights Defenders
Valdis Dombrovskis (Executive Vice-President),BUSINESSEUROPE
Mirzha De Manuel,BUSINESSEUROPE
Valdis Dombrovskis (Executive Vice-President),SGI Europe
Mirzha De Manuel,SGI Europe
Valdis Dombrovskis (Executive Vice-President),EUROPEAN TRADE UNION CONFEDERATION
Mirzha De Manuel,EUROPEAN TRADE UNION CONFEDERATION
Valdis Dombrovskis (Executive Vice-President),SMEunited aisbl
Mirzha De Manuel,SMEunited aisbl
Karolina Herbout-Borczak,Union Fédérale des Consommateurs - Que Choisir
Iris Abraham,Discord Inc.
Laszlo Kristoffy,International Partnership for Human Rights
Katri Teedumae,International Partnership for Human Rights
Barbara GLOWACKA,Pohjolan Voima Oyj
Tatiana Marquez Uriarte,Gas Infrastructure Europe
Maurits-Jan Prinz,Google
Thierry Breton (Commissioner),France Industrie
Anthony Whelan,ASML Netherlands B.V.
Joan Canton,Association des Constructeurs Européens d'Automobiles
Joan Canton,Volvo AB
Alina-Stefania Ujupan,KDC Conseil SPRL
Werner Stengg,Discord Inc.
Marta Balossino,Intel Corporation
Michele Piergiovanni,Intel Corporation
Silvan Agius,Combat Antisemitism Movement
Helena Braun,4evergreen
Helena Braun,logos public affairs
Frans Timmermans (Executive Vice-President),ExxonMobil Petroleum & Chemical
Elina Melngaile,Microsoft Corporation
Diederik Samsom,MBO Raad
Nicolo Brignoli,ACI Worldwide
Nicolo Brignoli,Open Finance Association Europe
Jasna Pajnkihar,World Vision Brussels & EU Representation ivzw/aisbl
Janez Lenarčič (Commissioner),World Vision Brussels & EU Representation ivzw/aisbl
Vangelis Demiris,EuropeActive
Iris Abraham,World Vision Brussels & EU Representation ivzw/aisbl
Colin Scicluna,World Vision Brussels & EU Representation ivzw/aisbl
Maurits-Jan Prinz,MEDICINES FOR EUROPE
Jutta Urpilainen (Commissioner),World Organization of the Scout Movement - Bureau Européen du Scoutisme
Jutta Urpilainen (Commissioner),Terre des Hommes International Federation
Jutta Urpilainen (Commissioner),Plan International EU Office
Jutta Urpilainen (Commissioner),Eurochild AISBL
Jutta Urpilainen (Commissioner),SOS Children's Villages International
Jutta Urpilainen (Commissioner),Organisation Mondiale de la Jeunesse Espérantiste
Jutta Urpilainen (Commissioner),Lumos Foundation
Jutta Urpilainen (Commissioner),Save the Children Europe
Kim Jorgensen,European Law Institute
Werner Stengg,European Law Institute
Elena Montani,European Confederation of Woodworking Industries
Elena Montani,Confederation of European Paper Industries
Helena Braun,European Confederation of Woodworking Industries
Helena Braun,Confederation of European Paper Industries
Helena Braun,European Organisation of the Sawmill industry
Helena Braun,Minderoo Foundation Limited ATF The Minderoo Foundation Trust
Ana Carla  Pereira,International Trade Union Confederation
Nicolas Schmit (Commissioner),International Trade Union Confederation
Anouk Faber,International Trade Union Confederation
Ana Carla  Pereira,SGI Europe
Nicolas Schmit (Commissioner),SGI Europe
Anouk Faber,SGI Europe
Ana Carla  Pereira,SMEunited aisbl
Nicolas Schmit (Commissioner),SMEunited aisbl
Anouk Faber,SMEunited aisbl
Ana Carla  Pereira,EUROPEAN TRADE UNION CONFEDERATION
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Anouk Faber,EUROPEAN TRADE UNION CONFEDERATION
Ana Carla  Pereira,BUSINESSEUROPE
Nicolas Schmit (Commissioner),BUSINESSEUROPE
Anouk Faber,BUSINESSEUROPE
Andreas Schneider,Royal Institute of International Affairs
Janusz Wojciechowski (Commissioner),Royal Institute of International Affairs
Stefanie Hiesinger,Fern
Lukas Visek,Fern
Helena Braun,Fern
Monika Ladmanova,European Network of National Human Rights Institutions
Nicolo Brignoli,Insurance Europe
Florian Denis,Insurance Europe
Frans Timmermans (Executive Vice-President),IMAGINE Foundation
Frans Timmermans (Executive Vice-President),RWM
Silvan Agius,Transgender Europe
Elina Melngaile,Verband Deutscher Maschinen- und Anlagenbau e.V.
Filomena Chirico,Coalition for App Fairness
Lukas Visek,Fern
Stefanie Hiesinger,Fern
Helena Braun,Fern
Barbara GLOWACKA,WACKER CHEMIE AG
Filip Alexandru Negreanu Arboreanu,Tallano Technologie
Walter Goetz,Tallano Technologie
Anthony Whelan,Netflix International B.V.
Andreas Schneider,Vereniging van de Nederlandse Pluimveeverwerkende Industrie
Janusz Wojciechowski (Commissioner),Vereniging van de Nederlandse Pluimveeverwerkende Industrie
Andreas Schneider,European agri-cooperatives
Janusz Wojciechowski (Commissioner),European agri-cooperatives
Andreas Schneider,European farmers
Janusz Wojciechowski (Commissioner),European farmers
Andreas Schneider,Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl
Janusz Wojciechowski (Commissioner),Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl
Andreas Schneider,Landbrug & Fødevarer - Danish Agriculture and Food Council
Janusz Wojciechowski (Commissioner),Landbrug & Fødevarer - Danish Agriculture and Food Council
Andreas Schneider,Grayling
Janusz Wojciechowski (Commissioner),Grayling
Andreas Schneider,The Kraft Heinz Company
Janusz Wojciechowski (Commissioner),The Kraft Heinz Company
Andrea Beltramello,Cleantech for Europe
Mairead McGuinness (Commissioner),Aercap Holdings NV
Darta Tentere,Aercap Holdings NV
Marie Frenay,Radio Free Europe/Radio Liberty
Diederik Samsom,House of the Dutch Provinces
Frans Timmermans (Executive Vice-President),Fédération Internationale de l'Automobile
Kim Jorgensen,Apple Inc.
Michele Piergiovanni,Apple Inc.
Filomena Chirico,ECTA
Christoph Nerlich,Deutscher Gewerkschaftsbund
Anouk Faber,Deutscher Gewerkschaftsbund
Nicolas Schmit (Commissioner),Deutscher Gewerkschaftsbund
Nicolas Schmit (Commissioner),Federation of Trade Unions of Ukraine
Anouk Faber,Federation of Trade Unions of Ukraine
Ivana McDowell,Federation of Trade Unions of Ukraine
Nicolas Schmit (Commissioner),The Pan European Reserves and Resources Reporting Committee
Anouk Faber,The Pan European Reserves and Resources Reporting Committee
Ivana McDowell,The Pan European Reserves and Resources Reporting Committee
Nicolas Schmit (Commissioner),Confederation of Free Trade Unions of Ukraine
Anouk Faber,Confederation of Free Trade Unions of Ukraine
Ivana McDowell,Confederation of Free Trade Unions of Ukraine
Nicolas Schmit (Commissioner),International Trade Union Confederation
Anouk Faber,International Trade Union Confederation
Ivana McDowell,International Trade Union Confederation
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Anouk Faber,EUROPEAN TRADE UNION CONFEDERATION
Ivana McDowell,EUROPEAN TRADE UNION CONFEDERATION
Arto Virtanen,Suomen Ylioppilaskuntien Liitto SYL ry
Olai Voionmaa,Suomen Ylioppilaskuntien Liitto SYL ry
Mirzha De Manuel,Platform of European Social NGOs
Pim Lescrauwaet,Platform of European Social NGOs
Anthony Agotha,Teneo Brussels
Valeria Miceli,Associazione Nazionale fra le Imprese Assicuratrici
Ana Carla  Pereira,Housing Europe
Christoph Nerlich,Housing Europe
Ana Carla  Pereira,Make Mothers Matter EU Delegation
Christoph Nerlich,Make Mothers Matter EU Delegation
Ana Carla  Pereira,The Salvation Army EU Affairs Office
Christoph Nerlich,The Salvation Army EU Affairs Office
Ana Carla  Pereira,Platform of European Social NGOs
Christoph Nerlich,Platform of European Social NGOs
Ana Carla  Pereira,European Association of Service providers for Persons with Disabilities
Christoph Nerlich,European Association of Service providers for Persons with Disabilities
Ana Carla  Pereira,European Network Against Racism
Christoph Nerlich,European Network Against Racism
Barbara GLOWACKA,CEE Bankwatch Network
Jorge Pinto Antunes,Fern
Kurt Vandenberghe,Breakthrough Energy Catalyst Foundation
Tatiana Marquez Uriarte,ETIP Zero Emissions Platform
Darta Tentere,European farmers
Darta Tentere,European agri-cooperatives
Marco Piantini,FERROVIE DELLO STATO ITALIANE S.p.A.
Paolo Gentiloni (Commissioner),FERROVIE DELLO STATO ITALIANE S.p.A.
Michele Piergiovanni,Vodafone Belgium SA
Kim Jorgensen,Vodafone Belgium SA
Penelope Papandropoulos,Coalition for App Fairness
Suvi Leinonen,Finnish Forest Industries Federation (Metsäteollisuus ry)
Mariya Gabriel (Commissioner),International Olympic Committee
Nora Bednarski,International Paralympic Committee
Valeria Miceli,International Swaps and Derivatives Association
Daniel Mes,Deutsche Post DHL Group
Margaritis Schinas (Vice-President),All Policies for a Healthy Europe
Maria Luisa Llano Cardenal,All Policies for a Healthy Europe
Renaud Savignat,Interpeace
Tatiana Marquez Uriarte,Deutscher Industrie- und Handelskammertag e. V.
Werner Stengg,Suomen itsenäisyyden juhlarahasto
Johannes Hahn (Commissioner),Havenbedrijf Antwerpen NV van publiek recht
